LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000002,2012-12-11,0.194,0.2735957447,1.119,47,0.2443682769,12.859,0.072
MAC000002,2012-12-12,0.1665,0.2493958333,0.895,48,0.2038161186,11.971,0.073
MAC000002,2012-12-13,0.1835,0.2275416667,1.049,48,0.181850647,10.922,0.08
MAC000002,2012-12-14,0.165,0.2205,0.764,48,0.1626681781,10.584,0.073
MAC000002,2012-12-15,0.2655,0.2970208333,1.154,48,0.1993630805,14.257,0.072
MAC000002,2012-12-16,0.2905,0.3436875,1.067,48,0.2529250294,16.497,0.073
MAC000002,2012-12-17,0.212,0.2542083333,1.434,48,0.2035847838,12.202,0.083
MAC000002,2012-12-18,0.166,0.2136458333,0.857,48,0.1471939652,10.255,0.078
MAC000002,2012-12-19,0.2195,0.2555208354,1.2180001,48,0.2038360925,12.2650001,0.073
MAC000002,2012-12-20,0.2175,0.2317083333,0.727,48,0.1555920687,11.122,0.073
MAC000002,2012-12-21,0.202,0.244,1.145,48,0.2086245737,11.712,0.083
MAC000002,2012-12-22,0.2565,0.3735833333,1.692,48,0.3367407509,17.932,0.078
MAC000002,2012-12-23,0.109,0.1661875,1.12,48,0.2033040545,7.977,0.069
MAC000002,2012-12-24,0.1045,0.1038125,0.186,48,0.0242536738,4.983,0.073
MAC000002,2012-12-25,0.102,0.1022708333,0.149,48,0.0193211818,4.909,0.073
MAC000002,2012-12-26,0.111,0.159375,1.36,48,0.2485998772,7.65,0.073
MAC000002,2012-12-27,0.1995,0.2738750021,1.3710001,48,0.2566575444,13.1460001,0.089
MAC000002,2012-12-28,0.2295,0.2324375,1.112,48,0.1695896055,11.157,0.074
MAC000002,2012-12-29,0.175,0.225,1.223,48,0.1936917929,10.8,0.075
MAC000002,2012-12-30,0.2225,0.2315,0.735,48,0.1421991412,11.112,0.074
MAC000002,2012-12-31,0.177,0.2090208333,1.168,48,0.1700519932,10.033,0.086
MAC000002,2013-01-01,0.1925,0.225,0.886,48,0.1640656329,10.8,0.076
MAC000002,2013-01-02,0.2365,0.2770833313,1.0779999,48,0.1896250223,13.2999999,0.073
MAC000002,2013-01-03,0.1955,0.209875,1.098,48,0.1546323884,10.074,0.075
MAC000002,2013-01-04,0.1815,0.2053541667,0.662,48,0.132950237,9.857,0.072
MAC000002,2013-01-05,0.1975,0.2327291667,1.181,48,0.1867724454,11.171,0.075
MAC000002,2013-01-06,0.2035,0.2144375,1.092,48,0.1523999367,10.293,0.078
MAC000002,2013-01-07,0.1455,0.1966458333,0.727,48,0.144426745,9.439,0.077
MAC000002,2013-01-08,0.159,0.2425000021,1.2410001,48,0.2070392192,11.6400001,0.075
MAC000002,2013-01-09,0.2265,0.3178958333,1.143,48,0.2851578316,15.259,0.077
MAC000002,2013-01-10,0.1695,0.22375,1.095,48,0.1904543839,10.74,0.075
MAC000002,2013-01-11,0.21,0.2287291646,1.1109999,48,0.175417393,10.9789999,0.074
MAC000002,2013-01-12,0.2165,0.2205416646,1.1289999,48,0.1693947759,10.5859999,0.074
MAC000002,2013-01-13,0.158,0.2158333333,1.206,48,0.1844144654,10.36,0.071
MAC000002,2013-01-14,0.2195,0.2556875,1.007,48,0.2072336698,12.273,0.074
MAC000002,2013-01-15,0.13,0.2047916667,1.187,48,0.186119609,9.83,0.073
MAC000002,2013-01-16,0.2285,0.3001666688,1.4220001,48,0.3177353673,14.4080001,0.074
MAC000002,2013-01-17,0.172,0.2053541667,1.016,48,0.1578196506,9.857,0.074
MAC000002,2013-01-18,0.2375,0.3525416688,1.358,48,0.3123641524,16.9220001,0.072
MAC000002,2013-01-19,0.185,0.3279583333,1.461,48,0.3542114381,15.742,0.074
MAC000002,2013-01-20,0.221,0.2402083333,1.151,48,0.1910593044,11.53,0.073
